Stages,Yellow Jersey,Green jersey,Polka-dot jersey,White jersey,Year
16,JONAS VINGEGAARD,WOUT VAN AERT,SIMON GESCHKE,TADEJ POGAČAR,2022
17,JONAS VINGEGAARD,WOUT VAN AERT,SIMON GESCHKE,TADEJ POGAČAR,2022
18,JONAS VINGEGAARD,WOUT VAN AERT,SIMON GESCHKE,TADEJ POGAČAR,2022
19,JONAS VINGEGAARD,WOUT VAN AERT,SIMON GESCHKE,TADEJ POGAČAR,2022
20,JONAS VINGEGAARD,WOUT VAN AERT,SIMON GESCHKE,TADEJ POGAČAR,2022
21,JONAS VINGEGAARD,WOUT VAN AERT,JONAS VINGEGAARD,TADEJ POGAČAR,2022
1,ADAM YATES,SIMON YATES,NEILSON POWLESS,TADEJ POGAČAR,2023
2,ADAM YATES,VICTOR LAFAY,NEILSON POWLESS,TADEJ POGAČAR,2023
3,ADAM YATES,VICTOR LAFAY,NEILSON POWLESS,TADEJ POGAČAR,2023
4,ADAM YATES,JASPER PHILIPSEN,NEILSON POWLESS,TADEJ POGAČAR,2023
5,JAI HINDLEY,JASPER PHILIPSEN,FELIX GALL,TADEJ POGAČAR,2023
6,JONAS VINGEGAARD,JASPER PHILIPSEN,NEILSON POWLESS,TADEJ POGAČAR,2023
7,JONAS VINGEGAARD,JASPER PHILIPSEN,NEILSON POWLESS,TADEJ POGAČAR,2023
8,JONAS VINGEGAARD,JASPER PHILIPSEN,NEILSON POWLESS,TADEJ POGAČAR,2023
9,JONAS VINGEGAARD,JASPER PHILIPSEN,NEILSON POWLESS,TADEJ POGAČAR,2023
10,JONAS VINGEGAARD,JASPER PHILIPSEN,NEILSON POWLESS,TADEJ POGAČAR,2023
11,JONAS VINGEGAARD,JASPER PHILIPSEN,NEILSON POWLESS,TADEJ POGAČAR,2023
12,JONAS VINGEGAARD,JASPER PHILIPSEN,NEILSON POWLESS,TADEJ POGAČAR,2023
13,JONAS VINGEGAARD,JASPER PHILIPSEN,NEILSON POWLESS,TADEJ POGAČAR,2023
14,JONAS VINGEGAARD,JASPER PHILIPSEN,NEILSON POWLESS,TADEJ POGAČAR,2023
15,JONAS VINGEGAARD,JASPER PHILIPSEN,GIULIO CICCONE,TADEJ POGAČAR,2023
16,JONAS VINGEGAARD,JASPER PHILIPSEN,GIULIO CICCONE,TADEJ POGAČAR,2023
17,JONAS VINGEGAARD,JASPER PHILIPSEN,GIULIO CICCONE,TADEJ POGAČAR,2023
18,JONAS VINGEGAARD,JASPER PHILIPSEN,GIULIO CICCONE,TADEJ POGAČAR,2023
19,JONAS VINGEGAARD,JASPER PHILIPSEN,GIULIO CICCONE,TADEJ POGAČAR,2023
20,JONAS VINGEGAARD,JASPER PHILIPSEN,GIULIO CICCONE,TADEJ POGAČAR,2023
21,JONAS VINGEGAARD,JASPER PHILIPSEN,GIULIO CICCONE,TADEJ POGAČAR,2023
